"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","BatchNum","CoilNo","Quantity","WhsCode","Bin","GRPONo","GRPODate"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-010276","D204504103","20.880000","38","38-A-SHED-A22-A23","1293","2026-08-19"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-010277","D204504104","20.890000","38","38-A-SHED-A9-A10","1293","2026-08-19"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-010318","D104576205","20.990000","38","38-A-SHED-A16-A17","1311","2026-08-20"
"NMDC000000000025","NMDC HR COIL 3MMX1250 E250","NMDC","E250","3.00","1250","","JW-010319","D104576206","20.990000","38","38-A-SHED-A18-A19","1311","2026-08-20"
"NMDC000000000026","NMDC HR COIL 16MMX1250","NMDC","E250","16.00","1250","","JW-009482","D203701208","21.210000","38","38-A-SHED-A3-A4","899","2026-07-18"
"NMDC000000000026","NMDC HR COIL 16MMX1250","NMDC","E250","16.00","1250","","JW-009698","D203877208","20.870000","38","38-A-SHED-A13-A14","1034","2026-07-29"
"NMDC000000000027","NMDC HR COIL 10MMX1500","NMDC","E250","10.00","1500","","JW-009699","D104132201","20.930000","38","38-A-SHED-A13-A14","1034","2026-07-29"
"NMDC000000000027","NMDC HR COIL 10MMX1500","NMDC","E250","10.00","1500","","JW-009837","D104271205","21.000000","38","38-A-SHED-A14-A15","1122","2026-08-05"
"NMDC000000000027","NMDC HR COIL 10MMX1500","NMDC","E250","10.00","1500","","JW-009838","D104270206","20.880000","38","38-A-SHED-A11-A12","1122","2026-08-05"
"NMDC000000000027","NMDC HR COIL 10MMX1500","NMDC","E250","10.00","1500","","JW-009896","D104352103","20.920000","38","38-B-SHED-B3-B4","1155","2026-08-08"
"NMDC000000000028","NMDC HR COIL 14MMX1500/E350","NMDC","E350","14.00","1500","","JW-009567","D203921101","20.970000","38","38-SYSTEM-BIN-LOCATION","938","2026-07-22"
"NMDC000000000028","NMDC HR COIL 14MMX1500/E350","NMDC","E350","14.00","1500","","JW-009651","D203921102","20.970000","38","38-B-SHED-B2-B3","999","2026-07-27"
"NMDC000000000028","NMDC HR COIL 14MMX1500/E350","NMDC","E350","14.00","1500","","JW-009660","D203920109","20.970000","38","38-B-SHED-B4-B5","1004","2026-07-27"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009754","D104152108","19.707000","38","38-A-SHED-A9-A10","1071","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009755","D104158103","20.830000","38","38-A-SHED-A9-A10","1071","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009756","D104158107","20.770000","38","38-A-SHED-A13-A14","1072","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009757","D104158108","20.810000","38","38-A-SHED-A1-A3","1072","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009759","D104152103","20.910000","38","38-A-SHED-A12-A13","1075","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009760","D104152104","20.890000","38","38-A-SHED-A1-A3","1075","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009775","D204082107","20.730000","38","38-A-SHED-A13-A14","1091","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009776","D204082106","20.760000","38","38-A-SHED-A3-A4","1091","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009777","D104208104","20.720000","38","38-A-SHED-A5-A6","1092","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009778","D104206201","20.630000","38","38-A-SHED-A5-A6","1092","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009781","D104206202","20.650000","38","38-A-SHED-A13-A14","1094","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009827","D104206203","20.580000","38","38-A-SHED-A22-A23","1116","2026-07-31"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009946","D104379208","20.870000","38","38-A-SHED-A8-A9","1191","2026-08-10"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009947","D104380201","20.950000","38","38-A-SHED-A8-A9","1191","2026-08-10"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-009952","D104380204","20.890000","38","38-A-SHED-A23-A24","1194","2026-08-10"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-010339","D104537208","20.930000","38","38-A-SHED-A22-A23","1322","2026-08-21"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-010341","D104537206","20.950000","38","38-A-SHED-A20-A21","1323","2026-08-21"
"NMDC000000000029","NMDC HR COIL 2MMX1250","NMDC","E250","2.00","1250","","JW-010342","D104537207","20.930000","38","38-A-SHED-A20-A21","1323","2026-08-21"
"NMDC000000000033","NMDC HR COIL 4.8MMX1500/HSFQ450","NMDC","HSFQ450","4.80","1500","","JW-009909","D102887103","20.945000","38","38-A-SHED-A21-A22","1163","2026-08-08"
"NMDC000000000033","NMDC HR COIL 4.8MMX1500/HSFQ450","NMDC","HSFQ450","4.80","1500","","JW-009925","D102887106","20.730000","38","38-A-SHED-A22-A23","1173","2026-08-10"
"NMDC000000000033","NMDC HR COIL 4.8MMX1500/HSFQ450","NMDC","HSFQ450","4.80","1500","","JW-009926","D102887108","20.710000","38","38-A-SHED-A22-A23","1173","2026-08-10"
"NMDC000000000037","NMDC HR COIL 2.5MMX1250","NMDC","E250","2.50","1250","","JW-007893","D101459107","10.687000","38","38-A-SHED-A22-A23","3594","2026-03-25"
"NMDC000000000041","NMDC HR COIL 5MMX1250","NMDC","E250","5.00","1250","","JW-009795","D104225204","20.680000","38","38-A-SHED-A3-A4","1102","2026-07-31"
"NMDC000000000042","NMDC HR COIL 5MMX1500","NMDC","E250","5.00","1500","","JW-008095","D201581107","10.900000","38","38-A-SHED-A7-A8","3734","2026-03-31"
"NMDC000000000042","NMDC HR COIL 5MMX1500","NMDC","E250","5.00","1500","","JW-010536","D104703102","20.640000","38","38-A-SHED-A21-A22","1383","2026-08-27"
"NMDC000000000042","NMDC HR COIL 5MMX1500","NMDC","E250","5.00","1500","","JW-010537","D104722203","21.020000","38","38-A-SHED-A21-A22","1383","2026-08-27"
"NMDC000000000057","NMDC HR COIL 3MMX1500","NMDC","E250","3.00","1500","","JW-009903","D104361206","20.870000","38","38-A-SHED-A6-A7","1159","2026-08-08"
"NMDC000000000059","NMDC HR COIL 6MMX1250/E350","NMDC","E350","6.00","1250","","JW-009011","D203060102","20.840000","38","38-A-SHED-A21-A22","564","2026-06-15"
"NMDC000000000059","NMDC HR COIL 6MMX1250/E350","NMDC","E350","6.00","1250","","JW-009019","D203060105","21.030000","38","38-A-SHED-A19-A20","568","2026-06-15"
"NMDC000000000059","NMDC HR COIL 6MMX1250/E350","NMDC","E350","6.00","1250","","JW-009539","D103843209","21.860000","38","38-A-SHED-A4-A5","921","2026-07-20"
"NMDC000000000059","NMDC HR COIL 6MMX1250/E350","NMDC","E350","6.00","1250","","JW-009540","D203732107","21.080000","38","38-A-SHED-A5-A6","921","2026-07-20"
"NMDC000000000060","NMDC HR COIL 6MMX1500/E350","NMDC","E350","6.00","1500","","JW-009537","D203826101","9.130000","38","38-A-SHED-A20-A21","920","2026-07-20"
"NMDC000000000060","NMDC HR COIL 6MMX1500/E350","NMDC","E350","6.00","1500","","JW-009574","D203826104","21.060000","38","38-A-SHED-A12-A13","942","2026-07-22"
"NMDC000000000060","NMDC HR COIL 6MMX1500/E350","NMDC","E350","6.00","1500","","JW-009575","D203826106","18.502000","38","38-A-SHED-A13-A14","942","2026-07-22"
"NMDC000000000060","NMDC HR COIL 6MMX1500/E350","NMDC","E350","6.00","1500","","JW-009784","D104024105","20.790000","38","38-A-SHED-A5-A6","1096","2026-07-31"
"NMDC000000000062","NMDC HR COIL 5MMX1500XE350","NMDC","E350","5.00","1500","","JW-009479","D203685109","17.109000","38","38-A-SHED-A13-A14","898","2026-07-18"
"NMDC000000000062","NMDC HR COIL 5MMX1500XE350","NMDC","E350","5.00","1500","","JW-009907","D104311204","20.830000","38","38-A-SHED-A9-A10","1162","2026-08-08"
"NMDC000000000063","NMDC HR COIL 5MMX1250/E350","NMDC","E350","5.00","1250","","JW-008279","D101964206","20.980000","38","38-B-SHED-B3-B4","86","2026-04-13"
"NMDC000000000063","NMDC HR COIL 5MMX1250/E350","NMDC","E350","5.00","1250","","JW-009395","D103843206","20.910000","38","38-A-SHED-A13-A14","841","2026-07-15"
"NMDC000000000063","NMDC HR COIL 5MMX1250/E350","NMDC","E350","5.00","1250","","JW-009396","D103843207","20.900000","38","38-A-SHED-A13-A14","841","2026-07-15"
"NMDC000000000064","NMDC HR COIL 8MMX1250/E350","NMDC","E350","8.00","1250","","JW-009431","D103844203","18.150000","38","38-A-SHED-A4-A5","864","2026-07-16"
"NMDC000000000064","NMDC HR COIL 8MMX1250/E350","NMDC","E350","8.00","1250","","JW-009546","D103844201","20.830000","38","38-A-SHED-A4-A5","925","2026-07-20"
"NMDC000000000064","NMDC HR COIL 8MMX1250/E350","NMDC","E350","8.00","1250","","JW-009547","D103844202","21.040000","38","38-A-SHED-A4-A5","925","2026-07-20"
"NMDC000000000064","NMDC HR COIL 8MMX1250/E350","NMDC","E350","8.00","1250","","JW-009612","D104010101","20.880000","38","38-A-SHED-A4-A5","974","2026-07-24"
"NMDC000000000064","NMDC HR COIL 8MMX1250/E350","NMDC","E350","8.00","1250","","JW-009613","D203886203","20.710000","38","38-A-SHED-A4-A5","974","2026-07-24"
"NMDC000000000065","NMDC HR COIL 14MMX1500","NMDC","E250","14.00","1500","","JW-008486","D102319105","10.988000","38","38-B-SHED-B3-B4","233","2026-04-28"
"NMDC000000000079","NMDC HR COIL 5.8MMX1200/HSFQ550","NMDC","HSFQ550","5.80","1200","","JW-008874","D202901103","13.300000","38","38-A-SHED-A22-A23","478","2026-05-31"
