"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","TotalQty","TotalNos"
"HRC000000000123","HR PLATE 16X2000X6300XE350","OTHER","E350","16.000000","2000.000000","6300.000000","4.833000","2.000000"
"HRC000000000124","HR PLATE 16X2000X12600XE350","OTHER","E350","16.000000","2000.000000","12600.000000","15.926000","5.000000"
"HRC000000000125","HR PLATE 20X1250X2500XE250","OTHER","E250","20.000000","1250.000000","2500.000000","3.152000","7.000000"
"HRC000000000127","HR PLATE 20X1250X6300XE250","OTHER","E250","20.000000","1250.000000","6300.000000","5.817000","5.000000"
"HRC000000000128","HR PLATE 20X1500X6300XE250","OTHER","E250","20.000000","1500.000000","6300.000000","8.315000","5.000000"
"HRC000000000130","HR PLATE 20X2000X6300XE250","OTHER","IS2062 E250BR","20.000000","2000.000000","6300.000000","2.013000","1.000000"
"HRC000000000134","HR PLATE 20X1250X6300XE350","OTHER","E350","20.000000","1250.000000","6300.000000","1.243000","1.000000"
"HRC000000000135","HR PLATE 20X1250X12500XE350","OTHER","E350","20.000000","1250.000000","12500.000000","2.466000","1.000000"
"HRC000000000140","HR Plate  25X1250X2500XE250","OTHER","IS2062 E250 BR","25.000000","1250.000000","2500.000000","4.370000","7.000000"
"HRC000000000142","HR Plate  25X1250X6300XE250","OTHER","IS2062 E250 BR","25.000000","1250.000000","6300.000000","0.000000","7.000000"
"HRC000000000157","HR PLATE 16X1500X12500XE350","OTHER","E350","16.000000","1500.000000","12500.000000","7.110000","3.000000"
"HRC000000000165","HR PLATE 20X1500X12000XE350","OTHER","E350","20.000000","1500.000000","12000.000000","2.754000","1.000000"
"HRC000000000166","HR PLATE 20X1500X12600XE350","OTHER","E350","20.000000","1500.000000","12600.000000","11.952000","4.000000"
"HRC000000000168","HR PLATE 20X2000X12000XE350","OTHER","E350","20.000000","2000.000000","12000.000000","0.302000","-1.000000"
"HRC000000000171","HR PLATE 25X1500X6300XE350","OTHER","E350","25.000000","1500.000000","6300.000000","1.768000","1.000000"
"HRC000000000177","HR PLATE 16X2000X6300XE250","OTHER","IS2062 E250 BR","16.000000","2000.000000","6300.000000","1.178000","1.000000"
"HRC000000000181","HR PLATE 20X2000X12000XE250","OTHER","IS2062 E250BR","20.000000","2000.000000","12000.000000","15.149000","4.000000"
"HRC000000000184","HR PLATE 25X1250X6300XE250","OTHER","E250","25.000000","1250.000000","6300.000000","0.185000","-7.000000"
"HRC000000000186","HR PLATE 25X1500X6300XE250","OTHER","E250","25.000000","1500.000000","6300.000000","7.132000","4.000000"
"HRC000000000188","HR SHEET 04X1250XCTLXE250","OTHER","E250","4.000000","1250.000000","0.000000","0.000000","-2.000000"
