Category,ItemGroup,ItemCode,ItemName,CardName,Yr,Mth,Qty,Value,Docs
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000037,SAIL MS CHANNEL 300X90 MM,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,128.900000,6991636.730000,2
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000117,SAIL NPB 400X180X8.6MM(66.31kg)-E250,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,125.240000,6770250.030000,2
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000119,SAIL NPB 300X150X7.1MM(42.25kg)-E250,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,64.160000,3387750.660000,1
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000120,SAIL NPB 500X200X10.2MM(90.69kg)-E250,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,193.060000,10713803.980000,3
2. SAIL STRUCTURALS,SAIL STRUCTURAL,MS000000000129,SAIL NPB 450X190X9.4MM(77.58kg)-E250,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,189.960000,10409692.430000,3
2. SAIL STRUCTURALS,SAIL STRUCTURAL,RS000000000005,SAIL RS JOISTS 300X140MM,STEEL AUTHORITY OF INDIA LTD - STRUCTURALS  (SAP CODE 1000142915),2025,4,351.320000,18540752.310000,6
3. RINL TMT,RINL TMT,TMT000000000037,VIZAG TMT REBAR COIL FE500D 10MM,RASHTRIYA ISPAT NIGAM LIMITED,2025,4,96.240000,5397889.880000,2
3. RINL TMT,RINL TMT,TMT000000000038,VIZAG TMT REBAR COIL FE500D 12MM,RASHTRIYA ISPAT NIGAM LIMITED,2025,4,82.710000,4569244.860000,2
3. RINL TMT,RINL TMT,TMT000000000048,VIZAG TMT REBARS FE500D 20MM,RASHTRIYA ISPAT NIGAM LIMITED,2025,4,20.520000,1137834.000000,2
3. RINL TMT,RINL TMT,TMT000000000070,VIZAG TMT REBAR COIL FE550D 8MM,RASHTRIYA ISPAT NIGAM LIMITED,2025,4,226.810000,13002061.690000,6
3. RINL TMT,RINL TMT,TMT000000000071,VIZAG TMT REBARS FE550D 16MM,RASHTRIYA ISPAT NIGAM LIMITED,2025,4,190.140000,10536948.670000,6
3. RINL TMT,RINL TMT,TMT000000000072,VIZAG TMT REBAR COIL FE550D 10MM,RASHTRIYA ISPAT NIGAM LIMITED,2025,4,165.650000,9204723.640000,4
3. RINL TMT,RINL TMT,TMT000000000073,VIZAG TMT REBAR COIL FE550D 12MM,RASHTRIYA ISPAT NIGAM LIMITED,2025,4,101.900000,5608538.730000,2
3. RINL TMT,RINL TMT,TMT000000000077,VIZAG TMT REBARS FE550D 32MM,RASHTRIYA ISPAT NIGAM LIMITED,2025,4,61.140000,3402358.000000,3
5. OTHERS,OTHERS,CUS000000000003,COTTON WASTE,SRI GOKUL ENTERPRISES,2025,4,50.000000,3100.000000,1
5. OTHERS,OTHERS,CUS000000000266,SAFETY HELMET - YELLOW,KRISHNA MILL STORES,2025,4,10.000000,820.000000,1
5. OTHERS,OTHERS,CUS000000000401,PNEUMATIC STRAPPING TOOL,RAJKAMAL AGENCIES PVT LTD,2025,4,1.000000,89000.000000,1
5. OTHERS,OTHERS,CUS000000000402,SAFETY HELMET - WHITE,KRISHNA MILL STORES,2025,4,4.000000,580.000000,1
5. OTHERS,OTHERS,CUS000000000403,SAFETY HELMET - BLUE,KRISHNA MILL STORES,2025,4,4.000000,580.000000,1
5. OTHERS,OTHERS,CUS000000000404,6WAY 7SEGEMENT DDB,EFFITEC POWER ENTERPRISES,2025,4,2.000000,17239.000000,1
5. OTHERS,OTHERS,CUS000000000405,100A FP 16KA MCCB,EFFITEC POWER ENTERPRISES,2025,4,2.000000,9300.000000,1
5. OTHERS,OTHERS,CUS000000000406,40A DP 30MA RCCB,EFFITEC POWER ENTERPRISES,2025,4,6.000000,12048.000000,1
5. OTHERS,OTHERS,CUS000000000407,16A SP MCB,EFFITEC POWER ENTERPRISES,2025,4,60.000000,10380.000000,1
5. OTHERS,OTHERS,CUS000000000409,8WAY TPN MCB DB,EFFITEC POWER ENTERPRISES,2025,4,1.000000,4049.000000,1
5. OTHERS,OTHERS,CUS000000000410,63A 4P MCB,EFFITEC POWER ENTERPRISES,2025,4,2.000000,3508.000000,1
5. OTHERS,OTHERS,CUS000000000411,16A 2P+E-DP P&S,EFFITEC POWER ENTERPRISES,2025,4,2.000000,3494.000000,1
5. OTHERS,OTHERS,CUS000000000412,16A DP MCB,EFFITEC POWER ENTERPRISES,2025,4,2.000000,1128.000000,1
5. OTHERS,OTHERS,CUS000000000413,32A 3P+N+E-FP P&S,EFFITEC POWER ENTERPRISES,2025,4,2.000000,6394.000000,1
5. OTHERS,OTHERS,CUS000000000414,32A 4P MCB,EFFITEC POWER ENTERPRISES,2025,4,2.000000,2460.000000,1
5. OTHERS,OTHERS,CUS000000000415,125 AMPS CURRENT COLLECTOR,V.S.ENTERPRISES,2025,4,4.000000,8100.000000,1
5. OTHERS,OTHERS,CUS000000000416,SINGLE POLE BUS BAR CLAMP,V.S.ENTERPRISES,2025,4,55.000000,2530.000000,1
5. OTHERS,OTHERS,CUS000000000427,POWER DISTRIBUTION PANEL CUBICLE TYPE,EFFITEC POWER ENTERPRISES,2025,4,1.000000,175000.000000,1
5. OTHERS,OTHERS,CUS000000000428,TMT MACHINE CUTTER BLADES,MM ELECTRICALS,2025,4,20.000000,20000.000000,1
5. OTHERS,OTHERS,CUS000000000429,M12X50 A/CAP SCREW UNBRAKO,DHANKOT TRADERS,2025,4,10.000000,127.500000,1
5. OTHERS,OTHERS,CUS000000000430,M12X60 A/CAP SCREW UNBRAKO,DHANKOT TRADERS,2025,4,10.000000,148.000000,1
5. OTHERS,OTHERS,CUS000000000431,M10X50 HEX SCREW UNBRAKO,DHANKOT TRADERS,2025,4,50.000000,375.000000,1
5. OTHERS,OTHERS,CUS000000000432,OIL SEAL 45X62X12,SHIVASHANTHI SEALS,2025,4,4.000000,680.000000,1
5. OTHERS,OTHERS,CUS000000000433,O RING 120X4,SHIVASHANTHI SEALS,2025,4,8.000000,432.000000,1
5. OTHERS,OTHERS,CUS000000000434,O RING 123.42X3.53,SHIVASHANTHI SEALS,2025,4,8.000000,360.000000,1
5. OTHERS,OTHERS,CUS000000000435,"18X9 "" STICKER",JAFA BOARDS,2025,4,25.000000,5250.000000,1
5. OTHERS,OTHERS,CUS000000000436,3MM FOAM BOARD 4X2 FEET,JAFA BOARDS,2025,4,4.000000,7800.000000,1
5. OTHERS,OTHERS,CUS000000000437,3MM FOAM BOARD 3X4 FEET,JAFA BOARDS,2025,4,3.000000,9300.000000,1
5. OTHERS,OTHERS,CUS000000000438,CONTACTOR 25A 2POLE UNITEX 240V,MODERN ELECTRICALS,2025,4,2.000000,3960.000000,1
5. OTHERS,OTHERS,CUS000000000439,OLR 6-10A,MODERN ELECTRICALS,2025,4,1.000000,1140.000000,1
5. OTHERS,OTHERS,CUS000000000440,SPARE COIL SLDM BCH 415V,MODERN ELECTRICALS,2025,4,2.000000,14263.000000,1
5. OTHERS,OTHERS,CUS000000000441,TAPE TAPLON,SRI GOKUL ENTERPRISES,2025,4,25.000000,325.000000,1
5. OTHERS,OTHERS,CUS000000000442,COTTON GLOVES,SRI GOKUL ENTERPRISES,2025,4,12.000000,156.000000,1
5. OTHERS,OTHERS,CUS000000000443,FIRST AID BOX,SRI GOKUL ENTERPRISES,2025,4,1.000000,533.000000,1
5. OTHERS,OTHERS,CUS000000000444,EAR PLUG,SRI GOKUL ENTERPRISES,2025,4,50.000000,500.000000,1
5. OTHERS,OTHERS,CUS000000000445,"4"" PAINT BRUSH",SRI GOKUL ENTERPRISES,2025,4,3.000000,180.000000,1
5. OTHERS,OTHERS,CUS000000000446,RO CHEMICAL ANTISCALANT,GSE FILTER PRIVATE LIMITED,2025,4,5.000000,1000.000000,1
5. OTHERS,OTHERS,CUS000000000447,ESAB DURA HOSE 8MM BLUE FOR OXYGEN,KRISHNA MILL STORES,2025,4,15.000000,1230.000000,1
5. OTHERS,OTHERS,CUS000000000448,ESAB DURA HOSE 8MM RED FOR ACETYLENE,KRISHNA MILL STORES,2025,4,15.000000,1230.000000,1
5. OTHERS,OTHERS,CUS000000000449,GASCO GAS REGULATOR DOUBLE METER OXYGEN,KRISHNA MILL STORES,2025,4,1.000000,1850.000000,1
5. OTHERS,OTHERS,CUS000000000450,GASCO LPG REGULATOR HEAVY,KRISHNA MILL STORES,2025,4,1.000000,575.000000,1
5. OTHERS,OTHERS,CUS000000000451,PUG ALUMINIUM TRACK,KRISHNA MILL STORES,2025,4,1.000000,925.000000,1
5. OTHERS,OTHERS,CUS000000000452,SCREW PITCH GAUGE,KRISHNA MILL STORES,2025,4,1.000000,345.000000,1
5. OTHERS,OTHERS,CUS000000000456,TOTEM HSS TAP SET M5 XM6,KRISHNA MILL STORES,2025,4,1.000000,2250.000000,1
5. OTHERS,OTHERS,CUS000000000457,"HOSE ADOPTER 1/2""X3/8""",KRISHNA MILL STORES,2025,4,5.000000,225.000000,1
5. OTHERS,OTHERS,CUS000000000458,"HOSE ADOPTER 3/8""X3/8""",KRISHNA MILL STORES,2025,4,5.000000,275.000000,1
5. OTHERS,OTHERS,CUS000000000466,EXIDE CHLORIDE SAFEPOWER-7AH,SUPREME POWER TECH,2025,4,2.000000,1562.500000,1
5. OTHERS,OTHERS,CUS000000000469,SUPPORTING HAM,HI-TECH POWER AND CONTROLS,2025,4,1.000000,1650.000000,1
5. OTHERS,OTHERS,CUS000000000472,"5/8"" HOSE 2000MM LENGTH",HYDRO LANE,2025,4,1.000000,1400.000000,1
5. OTHERS,OTHERS,CUS000000000473,"3/8""HOSE 1200MM LENGTH",HYDRO LANE,2025,4,1.000000,800.000000,1
5. OTHERS,OTHERS,HR000000000038,JSW HR COIL 2MMX1250,AGARWAL STEEL ENTERPRISES (P),2025,4,104.200000,5564280.000000,4
5. OTHERS,OTHERS,HR000000000566,SAIL HR COIL 12MMX2000/E350BR,ANUP STEELS,2025,4,32.070000,1734987.000000,1
5. OTHERS,OTHERS,HR000000000680,SSP HR PLATE 10MMX1250,ROYAL STEEL COMPANY,2025,4,0.570000,28500.000000,1
5. OTHERS,OTHERS,HR000000000883,SAIL NMDC HR COIL 5MMX1250,ANUP STEELS,2025,4,18.120000,924120.000000,1
5. OTHERS,OTHERS,HR000000000913,SAIL NMDC HR COIL 4MMX1500/E350,ANUP STEELS,2025,4,21.035000,1135890.000000,1
5. OTHERS,OTHERS,HR000000000926,TATA HR COIL 12MMX1250,TATA STEEL DOWNSTREAM PRODUCTS LIMITED,2025,4,42.107000,2147457.000000,1
5. OTHERS,OTHERS,MS000000000056,VIZAG MS ANGLE 100X100X10MM,G2 STEEL SERVICES PVT LTD,2025,4,64.730000,3313795.000000,2
5. OTHERS,OTHERS,MS000000000058,VIZAG MS ANGLE 100X100X8MM,G2 STEEL SERVICES PVT LTD,2025,4,0.460000,23690.000000,1
5. OTHERS,OTHERS,MS000000000059,VIZAG MS ANGLE 50X50X6MM,G2 STEEL SERVICES PVT LTD,2025,4,61.580000,3202160.000000,2
5. OTHERS,OTHERS,MS000000000060,VIZAG MS ANGLE 65X65X6MM,G2 STEEL SERVICES PVT LTD,2025,4,62.800000,3202800.000000,2
5. OTHERS,OTHERS,MS000000000061,VIZAG MS ANGLE 65X65X8MM,G2 STEEL SERVICES PVT LTD,2025,4,33.520000,1709520.000000,1
5. OTHERS,OTHERS,MS000000000063,VIZAG MS ANGLE 75X75X6MM,G2 STEEL SERVICES PVT LTD,2025,4,62.560000,3190560.000000,2
5. OTHERS,OTHERS,MS000000000067,VIZAG MS ANGLE 90X90X8MM,G2 STEEL SERVICES PVT LTD,2025,4,33.490000,1707990.000000,1
5. OTHERS,OTHERS,MS000000000068,VIZAG MS CHANNEL 100X50MM,G2 STEEL SERVICES PVT LTD,2025,4,161.040000,8245210.000000,5
5. OTHERS,OTHERS,MS000000000069,VIZAG MS CHANNEL 125X65MM,G2 STEEL SERVICES PVT LTD,2025,4,51.440000,2728150.000000,2
5. OTHERS,OTHERS,MS000000000131,MS ANGLES 150X150X10MM,G2 STEEL SERVICES PVT LTD,2025,4,0.270000,15660.000000,1
5. OTHERS,OTHERS,MS000000000132,MS ANGLES 150X150X12MM,G2 STEEL SERVICES PVT LTD,2025,4,1.600000,92800.000000,1
5. OTHERS,OTHERS,MS000000000133,MS ANGLES 100X100X8 MM,G2 STEEL SERVICES PVT LTD,2025,4,0.450000,22950.000000,1
5. OTHERS,OTHERS,OTH000000000020,HR PLATE/COIL,ANAND STEEL ENTERPRISES,2025,4,2.630000,135445.000000,1
5. OTHERS,OTHERS,OTH000000000035,MS ANGLE 25X25X3MM,FEROZ & CO,2025,4,2.050000,107010.000000,1
5. OTHERS,OTHERS,OTH000000000041,MS ANGLE 40X40X3MM,FEROZ & CO,2025,4,1.500000,78750.000000,1
5. OTHERS,OTHERS,OTH000000000043,MS ANGLE 40X40X6MM,CHENNAI UNITED METAL INDUSTRIES PVT LTD,2025,4,5.040000,248472.000000,1
5. OTHERS,OTHERS,OTH000000000044,MS ANGLES,CHENNAI UNITED METAL INDUSTRIES PVT LTD,2025,4,10.920000,530436.000000,2
5. OTHERS,OTHERS,OTH000000000044,MS ANGLES,G2 STEEL SERVICES PVT LTD,2025,4,28.622000,1465482.000000,2
5. OTHERS,OTHERS,OTH000000000050,MS CHANNELS,CHENNAI UNITED METAL INDUSTRIES PVT LTD,2025,4,30.670000,1487495.000000,2
5. OTHERS,OTHERS,OTH000000000058,MS FLATS,FEROZ & CO,2025,4,2.929000,147312.900000,3
5. OTHERS,OTHERS,OTH000000000058,MS FLATS,JAIHIND STRUCTURALS PVT LTD,2025,4,7.250000,367937.500000,1
5. OTHERS,OTHERS,OTH000000000058,MS FLATS,SRINIVASA STEEL PRODUCTS LLP,2025,4,6.528000,434112.000000,1
5. OTHERS,OTHERS,OTH000000000058,MS FLATS,SWASTIK ENTERPRISE,2025,4,2.520000,128520.000000,1
5. OTHERS,OTHERS,OTH000000000060,MS FLATS 100X12MM,FEROZ & CO,2025,4,0.510000,25755.000000,1
5. OTHERS,OTHERS,OTH000000000060,MS FLATS 100X12MM,SWASTIK ENTERPRISE,2025,4,0.115000,5807.500000,1
5. OTHERS,OTHERS,OTH000000000061,MS FLATS 100X16MM,FEROZ & CO,2025,4,0.532000,27557.600000,1
5. OTHERS,OTHERS,OTH000000000063,MS FLATS 100X6MM,FEROZ & CO,2025,4,2.565000,129646.000000,3
5. OTHERS,OTHERS,OTH000000000071,MS FLATS 150X6MM,FEROZ & CO,2025,4,0.500000,25950.000000,1
5. OTHERS,OTHERS,OTH000000000075,MS FLATS 200X6MM,SWASTIK ENTERPRISE,2025,4,0.400000,21400.000000,1
5. OTHERS,OTHERS,OTH000000000080,MS FLATS 25X5MM,FEROZ & CO,2025,4,0.110000,5830.000000,1
5. OTHERS,OTHERS,OTH000000000084,MS FLATS 32X6MM,FEROZ & CO,2025,4,2.010000,103314.000000,1
5. OTHERS,OTHERS,OTH000000000087,MS FLATS 40X3MM,FEROZ & CO,2025,4,2.000000,103000.000000,1
5. OTHERS,OTHERS,OTH000000000088,MS FLATS 40X6MM,CHENNAI UNITED METAL INDUSTRIES PVT LTD,2025,4,4.660000,236728.000000,1
5. OTHERS,OTHERS,OTH000000000093,MS FLATS 50X6MM,CHENNAI UNITED METAL INDUSTRIES PVT LTD,2025,4,2.150000,109220.000000,1
5. OTHERS,OTHERS,OTH000000000094,MS FLATS 50X8MM,SWASTIK ENTERPRISE,2025,4,0.020000,1010.000000,1
5. OTHERS,OTHERS,OTH000000000097,MS FLATS 65X10MM,FEROZ & CO,2025,4,0.312000,15849.600000,1
5. OTHERS,OTHERS,OTH000000000104,MS FLATS 75X6MM,FEROZ & CO,2025,4,0.550000,27995.000000,1
5. OTHERS,OTHERS,OTH000000000104,MS FLATS 75X6MM,SWASTIK ENTERPRISE,2025,4,1.235000,62367.500000,1
5. OTHERS,OTHERS,OTH000000000105,MS PIPE,ALI STEEL AND TUBES CO.,2025,4,0.488000,32696.000000,1
5. OTHERS,OTHERS,OTH000000000105,MS PIPE,MADHAV PIPES & TUBES P LTD,2025,4,18.737000,1123564.500000,7
5. OTHERS,OTHERS,OTH000000000119,MS ROUNDS,FEROZ & CO,2025,4,0.570000,29355.000000,1
5. OTHERS,OTHERS,OTH000000000120,MS ROUNDS 12,FEROZ & CO,2025,4,0.111000,5716.500000,1
5. OTHERS,OTHERS,OTH000000000125,MS ROUNDS 32,FEROZ & CO,2025,4,1.020000,53040.000000,1
5. OTHERS,OTHERS,OTH000000000128,MS SQUARE,FEROZ & CO,2025,4,0.035000,1785.000000,1
5. OTHERS,OTHERS,OTH000000000132,MS WIRE,GLOBAL FE.C FASTENERS,2025,4,5.000000,310000.000000,1
5. OTHERS,OTHERS,OTH000000000132,MS WIRE,INTERNATIONAL WIRES I0002,2025,4,0.500000,33500.000000,1
5. OTHERS,OTHERS,OTH000000000139,R.S. JOISTS,SRI BALAJI CORPORATION,2025,4,7.020000,582660.000000,1
5. OTHERS,OTHERS,OTH000000000149,TMT-REBARS,BALU IRON & STEEL COMPANY,2025,4,9.910000,594600.000000,1
5. OTHERS,OTHERS,OTH000000000149,TMT-REBARS,PSR STEELS,2025,4,10.700000,647350.000000,1
