ItemCode,ItemName,ItemGroup,Category,WhsCode,WhsName,OnHand,Committed,OnOrder,Grade,Thickness,Width,Length
JW000000000074,AMNS HR COIL 16X1190 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,63.740000,0.000000,0.000000,WIR006,16.000000,1190.000000,
JW000000000151,JSOL HR COIL 14.3X1190 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,61.496000,0.000000,0.000000,WIR006,14.300000,1190.000000,
JW000000000155,JSOL HR COIL 16X1210 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,61.344000,0.000000,0.000000,WIR006,16.000000,1210.000000,
JW000000000152,JSOL HR COIL 16X1190 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,60.954000,0.000000,0.000000,WIR006,16.000000,1190.000000,
JW000000000142,WUHAN HR COIL 14.3X1240 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,49.300000,0.000000,0.000000,WIR006,14.300000,1240.000000,
JW000000000138,WUHAN HR COIL 18.8X1260 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,49.032000,0.000000,0.000000,WIR006,18.800000,1260.000000,
HR000000001020,JSW HR COIL 16MMX1190 WIR006,JSW H.R.COIL,5. JSW HR,45,JOB WORK WAREHOUSE,47.315000,0.000000,0.000000,WIR006,16.000000,1190.000000,
JW000000000153,JSOL HR COIL 11.2X1250 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,40.540000,0.000000,0.000000,WIR006,11.200000,1250.000000,
JW000000000071,JSW HR COIL 14.3X1550 WIR025,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,28.605000,0.000000,0.000000,WIR025,14.300000,1550.000000,
JW000000000018,HYUNDAI HR COIL 14.3X1240 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,25.970000,0.000000,0.000000,WIR006,14.300000,1240.000000,
JW000000000143,WUHAN HR COIL 16X1210 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,24.869000,0.000000,0.000000,WIR006,16.000000,1210.000000,
JW000000000160,WUHAN HR COIL 14.3X1190 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,24.745000,0.000000,0.000000,WIR006,14.300000,1190.000000,
JW000000000141,WUHAN HR COIL 12.4X1250 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,24.650000,0.000000,0.000000,WIR006,12.400000,1250.000000,
JW000000000137,WUHAN HR COIL 12.1X1270 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,24.640000,0.000000,0.000000,WIR006,12.100000,1270.000000,
JW000000000161,WUHAN HR COIL 18X1260 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,24.630000,0.000000,0.000000,WIR006,18.000000,1260.000000,
JW000000000140,WUHAN HR COIL 16X1190 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,24.279000,0.000000,0.000000,WIR006,16.000000,1190.000000,
JW000000000172,JSW HR COIL 15.6X1270 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,23.440000,0.000000,0.000000,WIR006,15.600000,1270.000000,
JW000000000086,AMNS HR COIL 12.4X1250  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,22.805000,0.000000,0.000000,WIR006,12.400000,1250.000000,
